NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4,³Æµù
207,2,2,1,1,1,4,2,2,4,3,0,0,1,1,2,1,3,3,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,1,1,1,3,6,2,3,1,1,1,1,3,3,4,2,1,4,
208,1,1,1,4,3,3,3,2,2,1,1,0,0,1,2,1,5,5,4,4,4,1,1,1,4,3,5,3,3,4,1,2,2,2,2,2,5,5,2,5,2,2,2,1,1,2,4,5,2,4,
209,2,2,1,4,1,4,1,1,2,4,0,0,1,1,4,1,4,4,4,5,4,4,3,4,4,4,4,3,3,4,3,2,1,3,3,2,2,2,2,3,3,3,3,2,2,2,4,4,2,4,
210,2,2,1,4,1,4,2,1,2,3,0,0,1,1,2,2,4,3,3,4,3,4,3,4,4,4,4,4,3,5,1,3,2,1,1,1,6,6,1,5,1,1,1,1,1,1,6,1,2,5,
211,2,1,1,4,1,3,2,2,3,3,1,0,1,0,2,2,5,5,5,5,5,6,4,5,6,6,6,5,3,4,2,1,2,2,1,1,5,5,1,4,1,1,1,4,3,2,5,5,2,5,
212,1,2,1,1,3,4,2,1,3,1,0,0,1,1,2,2,3,5,5,5,3,2,2,2,5,3,3,3,3,5,5,5,5,2,2,3,3,1,3,3,2,3,2,5,2,2,3,3,1,4,
213,2,1,1,4,1,4,3,3,3,3,0,0,1,1,2,2,4,4,5,5,5,5,4,6,5,4,5,3,3,3,1,1,1,1,1,1,6,6,2,2,2,4,2,1,1,2,3,4,3,4,
214,2,1,1,4,2,4,3,2,2,1,0,0,1,1,2,2,3,3,4,5,5,5,4,5,5,5,5,5,4,5,2,2,2,2,2,2,5,5,1,4,2,2,2,2,2,2,5,5,1,5,
215,1,1,1,1,1,4,2,1,5,1,1,0,1,0,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,2,5,4,3,3,5,5,5,5,5,3,5,
216,2,1,1,1,1,4,2,2,2,2,1,0,1,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
217,1,2,1,1,1,4,1,1,4,3,1,0,1,0,2,2,3,3,1,1,4,1,1,2,3,2,3,3,3,4,6,6,6,5,3,5,3,1,5,2,3,5,4,5,2,4,3,3,1,1,
218,1,1,1,1,1,3,1,1,4,3,1,0,1,0,2,2,4,4,1,1,4,4,4,4,4,4,4,5,4,4,2,3,4,4,3,3,4,3,4,4,4,4,2,4,4,4,4,4,2,4,
219,1,1,1,1,1,3,2,2,2,1,1,0,1,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
